Date,Ni,Al,P,Fe,Cu,Co,Mn,Si,Li,C
01/01/2000,12.48891669,2.5254079,3.387629501,0.112566241,2.771443842,21.69910762,3.592094699,1.815755587,27.09437599,0.642936522
01/02/2000,14.50865085,2.510363185,3.387629501,0.112566241,2.706590752,21.1824622,3.592094699,1.815755587,27.09437599,0.642936522
01/03/2000,15.45068144,2.370256462,3.387629501,0.112566241,2.614248367,22.88269531,3.592094699,1.815755587,27.09437599,0.642936522
01/04/2000,14.62012602,2.19003551,3.387629501,0.112566241,2.523108358,24.37627025,3.592094699,1.815755587,27.09437599,0.642936522
01/05/2000,15.22543155,2.204539156,3.387629501,0.112566241,2.683730601,24.86432659,3.592094699,1.815755587,27.09437599,0.642936522
01/06/2000,12.64133273,2.263936471,3.387629501,0.112566241,2.634974303,22.51036902,3.592094699,1.815755587,27.09437599,0.642936522
01/07/2000,12.270851,2.349891239,3.387629501,0.112566241,2.704381388,19.6459453,3.592094699,1.815755587,27.09437599,0.642936522
01/08/2000,12.03383286,2.295979759,3.387629501,0.112566241,2.789299108,20.94353922,3.592094699,1.815755587,27.09437599,0.642936522
01/09/2000,12.98261179,2.406568181,3.387629501,0.112566241,2.946434464,22.5892586,3.592094699,1.815755587,27.09437599,0.642936522
01/10/2000,11.5398973,2.254813452,3.387629501,0.112566241,2.853520952,25.07224714,3.592094699,1.815755587,27.09437599,0.642936522
01/11/2000,11.03144306,2.215165143,3.387629501,0.112566241,2.697993772,24.04749589,3.592094699,1.815755587,27.09437599,0.642936522
01/12/2000,10.99322257,2.352761909,3.387629501,0.112566241,2.781318345,24.04749589,3.592094699,1.815755587,27.09437599,0.642936522
01/01/2001,10.22397317,2.361530437,3.29452109,0.114187408,2.61271665,19.73240547,3.566449581,1.627288647,26.13751419,0.625265523
01/02/2001,9.536057666,2.345028299,3.29452109,0.114187408,2.580779386,20.31706933,3.566449581,1.627288647,26.13751419,0.625265523
01/03/2001,8.965118785,2.205892916,3.29452109,0.114187408,2.541489975,20.86186975,3.566449581,1.627288647,26.13751419,0.625265523
01/04/2001,9.25211566,2.187972968,3.29452109,0.114187408,2.432435547,20.6372424,3.566449581,1.627288647,26.13751419,0.625265523
01/05/2001,10.32053041,2.249158042,3.29452109,0.114187408,2.458818504,15.94480043,3.566449581,1.627288647,26.13751419,0.625265523
01/06/2001,9.707159546,2.142983084,3.29452109,0.114187408,2.351006487,15.80680523,3.566449581,1.627288647,26.13751419,0.625265523
01/07/2001,8.67794651,2.070280132,3.29452109,0.114187408,2.229337937,15.04512868,3.566449581,1.627288647,26.13751419,0.625265523
01/08/2001,8.069530675,2.012822291,3.29452109,0.114187408,2.140498262,14.15108982,3.566449581,1.627288647,26.13751419,0.625265523
01/09/2001,7.347763133,1.965289118,3.29452109,0.114187408,2.084809029,13.61170562,3.566449581,1.627288647,26.13751419,0.625265523
01/10/2001,7.052990228,1.87457852,3.29452109,0.114187408,2.013114623,12.05869223,3.566449581,1.627288647,26.13751419,0.625265523
01/11/2001,7.422907056,1.940294738,3.29452109,0.114187408,2.086855353,12.05869223,3.566449581,1.627288647,26.13751419,0.625265523
01/12/2001,7.693913374,1.965391434,3.29452109,0.114187408,2.151182994,11.09817302,3.566449581,1.627288647,26.13751419,0.625265523
01/01/2002,8.695163901,1.969180856,3.243084557,0.109709613,2.16395651,9.999932008,3.309330017,1.687527384,25.1757546,0.83932283
01/02/2002,8.675120872,1.970259985,3.243084557,0.109709613,2.247322849,9.999932008,3.309330017,1.687527384,25.1757546,0.83932283
01/03/2002,9.406410864,2.021568989,3.243084557,0.109709613,2.309164156,9.734431929,3.309330017,1.687527384,25.1757546,0.83932283
01/04/2002,10.01174488,1.97119523,3.243084557,0.109709613,2.288229046,9.532309288,3.309330017,1.687527384,25.1757546,0.83932283
01/05/2002,9.728509393,1.932792614,3.243084557,0.109709613,2.295926835,9.618326845,3.309330017,1.687527384,25.1757546,0.83932283
01/06/2002,10.24433322,1.948145027,3.243084557,0.109709613,2.370530645,9.649214968,3.309330017,1.687527384,25.1757546,0.83932283
01/07/2002,10.27722509,1.925296262,3.243084557,0.109709613,2.286977256,9.766902626,3.309330017,1.687527384,25.1757546,0.83932283
01/08/2002,9.664883926,1.85840463,3.243084557,0.109709613,2.128834446,9.515958843,3.309330017,1.687527384,25.1757546,0.83932283
01/09/2002,9.554237197,1.872289428,3.243084557,0.109709613,2.127625821,9.619667379,3.309330017,1.687527384,25.1757546,0.83932283
01/10/2002,9.79052336,1.885713797,3.243084557,0.109709613,2.134891959,8.903599143,3.309330017,1.687527384,25.1757546,0.83932283
01/11/2002,10.52356874,1.974375065,3.243084557,0.109709613,2.276660779,8.90024781,3.309330017,1.687527384,25.1757546,0.83932283
01/12/2002,10.34980013,1.978504533,3.243084557,0.109709613,2.295926835,9.426031397,3.309330017,1.687527384,25.1757546,0.83932283
01/01/2003,11.291817,1.939109385,3.171097705,0.116936766,2.318094797,19.30943649,3.390631842,1.901301638,25.78750315,0.586208825
01/02/2003,12.13170887,2.000838581,3.171097705,0.116936766,2.368940206,20.29663561,3.390631842,1.901301638,25.78750315,0.586208825
01/03/2003,11.78815767,1.954571229,3.171097705,0.116936766,2.334015291,23.47927303,3.390631842,1.901301638,25.78750315,0.586208825
01/04/2003,11.12876419,1.874010661,3.171097705,0.116936766,2.23342045,23.81103813,3.390631842,1.901301638,25.78750315,0.586208825
01/05/2003,11.72036614,1.967534417,3.171097705,0.116936766,2.318960041,25.23683485,3.390631842,1.901301638,25.78750315,0.586208825
01/06/2003,12.48591312,1.983512593,3.171097705,0.116936766,2.372738839,27.48807823,3.390631842,1.901301638,25.78750315,0.586208825
01/07/2003,12.37705977,2.020432494,3.171097705,0.116936766,2.405801017,27.54909505,3.390631842,1.901301638,25.78750315,0.586208825
01/08/2003,13.15646052,2.048888477,3.171097705,0.116936766,2.476532974,27.06096047,3.390631842,1.901301638,25.78750315,0.586208825
01/09/2003,14.02025001,1.991564289,3.171097705,0.116936766,2.517682019,26.49023131,3.390631842,1.901301638,25.78750315,0.586208825
01/10/2003,15.5422765,2.074124064,3.171097705,0.116936766,2.702014212,27.5078689,3.390631842,1.901301638,25.78750315,0.586208825
01/11/2003,17.0045111,2.122082511,3.171097705,0.116936766,2.891779857,35.99065031,3.390631842,1.901301638,25.78750315,0.586208825
01/12/2003,19.92523795,2.187597678,3.171097705,0.116936766,3.09699187,47.842388,3.390631842,1.901301638,25.78750315,0.586208825
01/01/2004,21.0007,2.201237522,3.088413562,0.135096859,3.320818719,67.44563981,3.959927767,2.474607467,24.38753398,0.570923842
01/02/2004,20.75211108,2.309672402,3.088413562,0.135096859,3.781148675,68.26247514,3.959927767,2.474607467,24.38753398,0.570923842
01/03/2004,18.79252918,2.269064645,3.088413562,0.135096859,4.122595845,68.74537477,3.959927767,2.474607467,24.38753398,0.570923842
01/04/2004,17.60472212,2.370116794,3.088413562,0.135096859,4.040393773,66.59476967,3.959927767,2.474607467,24.38753398,0.570923842
01/05/2004,15.23447105,2.224169477,3.088413562,0.135096859,3.745488772,64.17991917,3.959927767,2.474607467,24.38753398,0.570923842
01/06/2004,18.54386627,2.298835354,3.088413562,0.135096859,3.681369457,63.32402485,3.959927767,2.474607467,24.38753398,0.570923842
01/07/2004,20.58517752,2.342075299,3.088413562,0.135096859,3.848161889,62.18272436,3.959927767,2.474607467,24.38753398,0.570923842
01/08/2004,18.74391935,2.318667878,3.088413562,0.135096859,3.89976838,60.05554901,3.959927767,2.474607467,24.38753398,0.570923842
01/09/2004,18.18402804,2.361709141,3.088413562,0.135096859,3.966592503,58.86433082,3.959927767,2.474607467,24.38753398,0.570923842
01/10/2004,19.73700072,2.493206148,3.088413562,0.135096859,4.127420379,55.44431906,3.959927767,2.474607467,24.38753398,0.570923842
01/11/2004,19.24532431,2.485434276,3.088413562,0.135096859,4.278907485,42.56392791,3.959927767,2.474607467,24.38753398,0.570923842
01/12/2004,18.86626057,2.533776909,3.088413562,0.135096859,4.309952496,44.39963708,3.959927767,2.474607467,24.38753398,0.570923842
01/01/2005,19.22281781,2.431080149,2.98706963,0.224093518,4.201057046,45.91399776,5.817867644,2.225703143,23.3349723,0.651583506
01/02/2005,20.34199531,2.495255602,2.98706963,0.224093518,4.311980855,44.37991019,5.817867644,2.225703143,23.3349723,0.651583506
01/03/2005,21.45673321,2.623805297,2.98706963,0.224093518,4.47868463,40.29675925,5.817867644,2.225703143,23.3349723,0.651583506
01/04/2005,21.39213367,2.510411214,2.98706963,0.224093518,4.498544895,43.01836509,5.817867644,2.225703143,23.3349723,0.651583506
01/05/2005,22.43854807,2.310846426,2.98706963,0.224093518,4.305884684,38.5261059,5.817867644,2.225703143,23.3349723,0.651583506
01/06/2005,21.41551116,2.294406643,2.98706963,0.224093518,4.670287288,35.40328692,5.817867644,2.225703143,23.3349723,0.651583506
01/07/2005,19.32315814,2.357344309,2.98706963,0.224093518,4.789753688,33.31069619,5.817867644,2.225703143,23.3349723,0.651583506
01/08/2005,19.7366548,2.475364856,2.98706963,0.224093518,5.032985614,38.49361729,5.817867644,2.225703143,23.3349723,0.651583506
01/09/2005,18.85596348,2.438347845,2.98706963,0.224093518,5.112621488,38.70605752,5.817867644,2.225703143,23.3349723,0.651583506
01/10/2005,16.43694315,2.556037079,2.98706963,0.224093518,5.38021822,33.47967515,5.817867644,2.225703143,23.3349723,0.651583506
01/11/2005,16.05636317,2.717555132,2.98706963,0.224093518,5.657963751,33.21972761,5.817867644,2.225703143,23.3349723,0.651583506
01/12/2005,17.79717519,2.978443425,2.98706963,0.224093518,6.06539207,35.60628112,5.817867644,2.225703143,23.3349723,0.651583506
01/01/2006,18.68657901,3.052785032,2.893720093,0.224437997,6.078120307,33.04895865,4.133960874,2.244170567,22.48437559,0.631220734
01/02/2006,19.23030014,3.152241455,2.893720093,0.217758295,6.396598342,30.57647858,4.133960874,2.244170567,22.48437559,0.631220734
01/03/2006,19.1258483,3.118611298,2.893720093,0.222768071,6.551234155,32.72234799,4.133960874,2.244170567,22.48437559,0.631220734
01/04/2006,23.03492042,3.365083951,2.893720093,0.224771982,8.20087712,35.99605709,4.133960874,2.244170567,22.48437559,0.631220734
01/05/2006,27.05965357,3.673673859,2.893720093,0.224771982,10.32958324,36.38979693,4.133960874,2.244170567,22.48437559,0.631220734
01/06/2006,26.64548975,3.180506449,2.893720093,0.231451684,9.240575983,34.09492614,4.133960874,2.244170567,22.48437559,0.631220734
01/07/2006,34.13238176,3.225919678,2.893720093,0.235459506,9.901086643,33.48239939,4.133960874,2.244170567,22.48437559,0.631220734
01/08/2006,39.46987216,3.1581561,2.893720093,0.23312161,9.879985468,40.57477609,4.133960874,2.244170567,22.48437559,0.631220734
01/09/2006,38.68297913,3.174780528,2.893720093,0.23378958,9.760200743,45.96689002,4.133960874,2.244170567,22.48437559,0.631220734
01/10/2006,41.98532188,3.408066873,2.893720093,0.239467327,9.629286418,44.51208206,4.133960874,2.244170567,22.48437559,0.631220734
01/11/2006,41.22902401,3.469953038,2.893720093,0.245479059,9.024336449,45.282739,4.133960874,2.244170567,22.48437559,0.631220734
01/12/2006,44.3826443,3.612249877,2.893720093,0.245479059,8.569758665,67.5950924,4.133960874,2.244170567,22.48437559,0.631220734
01/01/2007,45.94879146,3.50670579,2.813461021,0.253932476,7.077042638,59.53592768,3.869515288,3.101038842,30.17463271,0.613713446
