,FR,DE,HU,NO,PL,SE,GB,European average
labour,43.25,42.18,11.73,59.48,12.68,43.25,33.77,35.19
capital,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06
land,2380.08,2213.95,1219.94,3683.2,1503.39,3074.6,2291.4,2338.08
